호선,hour,interval_Weekday,interval_Saturday,interval_Sunday,capacity
1,24시이후,5,5,5,1576
1,06-07시간대,5,5,5,1576
1,06시이전,5,5,5,1576
1,07-08시간대,3,5,5,1576
1,08-09시간대,3,5,5,1576
1,09-10시간대,5,5,5,1576
1,11-12시간대,5,5,5,1576
1,12-13시간대,5,5,5,1576
1,13-14시간대,5,5,5,1576
1,14-15시간대,5,5,5,1576
1,10-11시간대,5,5,5,1576
1,16-17시간대,5,5,5,1576
1,17-18시간대,5,5,5,1576
1,18-19시간대,3,5,5,1576
1,19-20시간대,3,5,5,1576
1,20-21시간대,5,5,5,1576
1,21-22시간대,5,5,5,1576
1,22-23시간대,5,5,5,1576
1,23-24시간대,5,5,5,1576
1,15-16시간대,5,5,5,1576
2,24시이후,5.5,5.5,5.5,1576
2,06-07시간대,5.5,5.5,5.5,1576
2,06시이전,5.5,5.5,5.5,1576
2,07-08시간대,2.5,5.5,5.5,1576
2,08-09시간대,2.5,5.5,5.5,1576
2,09-10시간대,5.5,5.5,5.5,1576
2,11-12시간대,5.5,5.5,5.5,1576
2,12-13시간대,5.5,5.5,5.5,1576
2,13-14시간대,5.5,5.5,5.5,1576
2,14-15시간대,5.5,5.5,5.5,1576
2,10-11시간대,5.5,5.5,5.5,1576
2,16-17시간대,5.5,5.5,5.5,1576
2,17-18시간대,5.5,5.5,5.5,1576
2,18-19시간대,2.5,5.5,5.5,1576
2,19-20시간대,2.5,5.5,5.5,1576
2,20-21시간대,5.5,5.5,5.5,1576
2,21-22시간대,5.5,5.5,5.5,1576
2,22-23시간대,5.5,5.5,5.5,1576
2,23-24시간대,5.5,5.5,5.5,1576
2,15-16시간대,5.5,5.5,5.5,1576
3,24시이후,6.5,6.5,6.5,1576
3,06-07시간대,6.5,6.5,6.5,1576
3,06시이전,6.5,6.5,6.5,1576
3,07-08시간대,3,6.5,6.5,1576
3,08-09시간대,3,6.5,6.5,1576
3,09-10시간대,6.5,6.5,6.5,1576
3,11-12시간대,6.5,6.5,6.5,1576
3,12-13시간대,6.5,6.5,6.5,1576
3,13-14시간대,6.5,6.5,6.5,1576
3,14-15시간대,6.5,6.5,6.5,1576
3,10-11시간대,6.5,6.5,6.5,1576
3,16-17시간대,6.5,6.5,6.5,1576
3,17-18시간대,6.5,6.5,6.5,1576
3,18-19시간대,3,6.5,6.5,1576
3,19-20시간대,3,6.5,6.5,1576
3,20-21시간대,6.5,6.5,6.5,1576
3,21-22시간대,6.5,6.5,6.5,1576
3,22-23시간대,6.5,6.5,6.5,1576
3,23-24시간대,6.5,6.5,6.5,1576
3,15-16시간대,6.5,6.5,6.5,1576
4,24시이후,5.5,5.5,5.5,1576
4,06-07시간대,5.5,5.5,5.5,1576
4,06시이전,5.5,5.5,5.5,1576
4,07-08시간대,2.5,5.5,5.5,1576
4,08-09시간대,2.5,5.5,5.5,1576
4,09-10시간대,5.5,5.5,5.5,1576
4,11-12시간대,5.5,5.5,5.5,1576
4,12-13시간대,5.5,5.5,5.5,1576
4,13-14시간대,5.5,5.5,5.5,1576
4,14-15시간대,5.5,5.5,5.5,1576
4,10-11시간대,5.5,5.5,5.5,1576
4,16-17시간대,5.5,5.5,5.5,1576
