호선,역번호,역명
1,133,서울역
1,132,시청
1,131,종각
1,130,종로3가
1,129,종로5가
1,128,동대문
1,126,신설동
1,125,제기동
1,124,청량리
1,127,동묘앞
2,201,시청
2,202,을지로입구
2,203,을지로3가
2,204,을지로4가
2,205,동대문역사문화공원
2,206,신당
2,207,상왕십리
2,208,왕십리
2,209,한양대
2,210,뚝섬
2,211,성수
2,212,건대입구
2,213,구의
2,214,강변
2,215,잠실나루
2,216,잠실
2,217,잠실새내
2,218,종합운동장
2,219,삼성
2,220,선릉
2,221,역삼
2,222,강남
2,223,교대
2,224,서초
2,225,방배
2,226,사당
2,227,낙성대
2,228,서울대입구
2,229,봉천
2,230,신림
2,231,신대방
2,232,구로디지털단지
2,233,대림
2,234,신도림
2,235,문래
2,236,영등포구청
2,237,당산
2,238,합정
2,239,홍대입구
2,240,신촌
2,241,이대
2,242,아현
2,243,충정로
2,1211,용답
2,2211,신답
2,4211,신설동
2,1234,도림천
2,2234,양천구청
2,3234,신정네거리
2,3211,용두
2,4234,까치산
3,319,지축
3,320,구파발
3,321,연신내
3,322,불광
3,323,녹번
3,324,홍제
3,325,무악재
3,326,독립문
3,327,경복궁
3,328,안국
3,329,종로3가
3,330,을지로3가
3,331,충무로
3,332,동대입구
3,333,약수
3,334,금호
3,335,옥수
3,336,압구정
3,337,신사
3,338,잠원
3,339,고속터미널
3,340,교대
3,341,남부터미널
3,342,양재
3,343,매봉
3,344,도곡
3,345,대치
3,346,학여울
3,347,대청
3,348,일원
3,349,수서
3,350,가락시장
3,351,경찰병원
3,352,오금
4,409,당고개
4,410,상계
4,411,노원
4,412,창동
4,413,쌍문
4,414,수유
4,415,미아
4,416,미아삼거리
4,417,길음
4,418,성신여대입구
4,419,한성대입구
4,420,혜화
4,421,동대문
4,422,동대문역사문화공원
4,423,충무로
4,424,명동
4,425,회현
4,426,서울역
4,427,숙대입구
4,428,삼각지
4,429,신용산
4,430,이촌
4,431,동작
4,432,총신대입구
4,433,사당
4,434,남태령
5,510,방화
5,511,개화산
5,512,김포공항
5,513,송정
5,514,마곡
5,515,발산
5,516,우장산
5,517,화곡
5,518,까치산
5,519,신정
5,520,목동
5,521,오목교
5,522,양평
5,523,영등포구청
5,524,영등포시장
5,525,신길
5,526,여의도
5,527,여의나루
5,528,마포
5,529,공덕
5,530,애오개
5,531,충정로
5,532,서대문
5,533,광화문
5,534,종로3가
5,535,을지로4가
5,536,동대문역사문화공원
5,537,청구
5,538,신금호
5,539,행당
5,540,왕십리
5,541,마장
5,542,답십리
5,543,장한평
5,544,군자
5,545,아차산
5,546,광나루
5,547,천호
5,548,강동
5,549,길동
5,550,굽은다리
5,551,명일
5,552,고덕
5,553,상일동
5,1549,둔촌동
5,1550,올림픽공원
5,1551,방이
5,1552,오금
5,1553,개롱
5,1554,거여
5,1555,마천
5,554,강일
5,555,미사
5,556,하남풍산
5,557,하남시청
5,558,하남검단산
6,610,응암
6,611,역촌
6,612,불광
6,613,독바위
6,614,연신내
6,615,구산
6,616,새절
6,617,증산
6,618,디지털미디어시티
6,619,월드컵경기장
6,620,마포구청
6,621,망원
6,622,합정
6,623,상수
6,624,광흥창
6,625,대흥
6,626,공덕
6,627,효창공원앞
6,628,삼각지
6,629,녹사평
6,630,이태원
6,631,한강진
6,632,버티고개
6,633,약수
6,634,청구
6,635,신당
6,636,동묘앞
6,637,창신
6,638,보문
6,639,안암
6,640,고려대
6,641,월곡
6,642,상월곡
6,643,돌곶이
6,644,석계
6,645,태릉입구
6,646,화랑대
6,647,봉화산
6,648,신내
7,709,장암
7,710,도봉산
7,711,수락산
7,712,마들
7,713,노원
7,714,중계
7,715,하계
7,716,공릉
7,717,태릉입구
7,718,먹골
7,719,중화
7,720,상봉
7,721,면목
7,722,사가정
7,723,용마산
7,724,중곡
7,725,군자
7,726,어린이대공원
7,727,건대입구
7,728,뚝섬유원지
7,729,청담
7,730,강남구청
7,731,학동
7,732,논현
7,733,반포
7,734,고속터미널
7,735,내방
7,736,총신대입구
7,737,남성
7,738,숭실대입구
7,739,상도
7,740,장승배기
7,741,신대방삼거리
7,742,보라매
7,743,신풍
7,744,대림
7,745,남구로
7,746,가산디지털단지
7,747,철산
7,748,광명사거리
7,749,천왕
7,750,온수
8,810,암사
8,811,천호
8,812,강동구청
8,813,몽촌토성
8,814,잠실
8,815,석촌
8,816,송파
8,817,가락시장
8,818,문정
8,819,장지
8,820,복정
8,822,산성
8,823,남한산성입구
8,824,단대오거리
8,825,신흥
8,826,수진
8,827,모란
8,821,남위례
