연번,역명,평일(일평균),토요일,일요일
1,가락시장,34322,23568,17202
2,가산디지털단지,84736,50658,39813
3,강남,66395,44985,29048
4,강남구청,58829,37701,23936
5,강동,4432,3002,2566
6,건대입구,102389,86611,61946
7,고속터미널,179122,154399,109353
8,공덕,95484,64584,45310
9,교대,138669,97810,62584
10,군자,102292,74610,54764
11,김포공항,38758,27187,19661
12,까치산,35772,23935,17220
13,노원,39847,31886,21340
14,논현,42479,30396,19313
15,당산,69435,53344,38051
16,대림,71296,52352,37455
17,도곡,31363,21707,13489
18,도봉산,42860,34734,25985
19,동대문,50893,47567,32634
20,동대문역사문화공원,213690,171746,120184
21,동묘앞,48079,41110,30671
22,동작,41410,35755,24197
23,디지털미디어시티,40523,30675,22529
24,모란,19984,14395,10377
25,보라매,15849,9027,6588
26,보문,19578,12260,9337
27,복정,68143,44685,32766
28,불광,23344,17797,13089
29,사당,153301,129498,88674
30,삼각지,46652,41873,28161
31,상봉,45754,36962,26945
32,서울역,129938,118155,84437
33,석계,24614,18224,13561
34,석촌,37226,26196,18672
35,선릉,91810,58783,35522
36,성수,25618,17108,12196
37,성신여대입구,24897,19941,16270
38,수서,17581,12033,8047
39,시청,48353,42889,27383
40,신길,50397,38889,27016
41,신내,8524,6245,4753
42,신당,42746,32641,23021
43,신도림,274167,227220,155867
44,신림,27068,20781,15183
45,신사,39232,33176,19501
46,신설동,38290,29300,22481
47,약수,54830,40220,27674
48,양재,23211,16535,10637
49,여의도,58085,41884,28556
50,연신내,34726,26632,19279
51,영등포구청,79886,57371,37791
52,오금,30206,19622,13828
53,옥수,30380,24392,16362
54,온수,60520,44299,31728
55,올림픽공원,20278,16654,12197
56,왕십리,168848,130443,88769
57,을지로3가,67818,56766,36244
58,을지로4가,22963,15808,10017
59,이촌,28576,27787,19969
60,잠실,102809,67851,45208
61,종로3가,148205,140066,89040
62,종합운동장,29200,24854,16187
63,창동,72736,59022,44674
64,천호,83376,56162,39820
65,청구,35293,24987,17986
66,청량리,22308,24994,19605
67,총신대입구(이수),66097,58065,40564
68,충무로,131404,107902,69814
69,충정로,18694,10667,6945
70,태릉입구,47743,32676,23308
71,합정,92750,71774,50080
72,홍대입구,72096,67304,49510
73,효창공원앞,7646,5978,4407
